"","PLOT_ID_time","AGE","INVENTORY_ID","site","plot","Nr","Artcode","x","y","z","year","dbh","height","hcb","removed","reason","observation","PLOT_ID","TREE_ID","TREE_ID_time","thinned","dead"
"136","5_1_1985",138,"DEN",5,1,40,10,45.5999984741211,28.1000003814697,NA,1985,46.1,38.2,NA,0,NA,NA,"5_1","5_1_40","5_1_40_1985",0,0
"137","5_1_1985",138,"DEN",5,1,54,10,43.9000015258789,18.7000007629395,NA,1985,39,36.8,NA,0,NA,NA,"5_1","5_1_54","5_1_54_1985",0,0
"138","5_1_1985",138,"DEN",5,1,58,10,43.7999992370605,10.6000003814697,NA,1985,41.1,37.7,NA,0,NA,NA,"5_1","5_1_58","5_1_58_1985",0,0
"139","5_1_1985",138,"DEN",5,1,68,10,42.5,26.6000003814697,NA,1985,51,40.2,NA,0,NA,NA,"5_1","5_1_68","5_1_68_1985",0,0
"140","5_1_1985",138,"DEN",5,1,100,10,39.0999984741211,20.2000007629395,NA,1985,51.3,38.5,NA,0,NA,NA,"5_1","5_1_100","5_1_100_1985",0,0
"141","5_1_1985",138,"DEN",5,1,102,10,39.0999984741211,36.0999984741211,NA,1985,56.6,40.2,NA,0,NA,NA,"5_1","5_1_102","5_1_102_1985",0,0
"142","5_1_1985",138,"DEN",5,1,119,10,37.7000007629395,5.90000009536743,NA,1985,61.8,43.2,NA,0,NA,NA,"5_1","5_1_119","5_1_119_1985",0,0
"143","5_1_1985",138,"DEN",5,1,147,10,34.5,10.8000001907349,NA,1985,49.7,39.7,NA,0,NA,NA,"5_1","5_1_147","5_1_147_1985",0,0
"144","5_1_1985",138,"DEN",5,1,156,10,33,15.8000001907349,NA,1985,58.9,39.4,NA,0,NA,NA,"5_1","5_1_156","5_1_156_1985",0,0
"145","5_1_1985",138,"DEN",5,1,159,10,32.7000007629395,27,NA,1985,47.5,39.5,NA,0,NA,NA,"5_1","5_1_159","5_1_159_1985",0,0
"146","5_1_1985",138,"DEN",5,1,182,10,29.5,12.8999996185303,NA,1985,36.3,38.2,NA,0,NA,NA,"5_1","5_1_182","5_1_182_1985",0,0
"147","5_1_1985",138,"DEN",5,1,185,10,29.3999996185303,21,NA,1985,28.2,34.8,NA,0,NA,NA,"5_1","5_1_185","5_1_185_1985",0,0
"148","5_1_1985",138,"DEN",5,1,189,10,29.6000003814697,30.2999992370605,NA,1985,45.4,39.4,NA,0,NA,NA,"5_1","5_1_189","5_1_189_1985",0,0
"149","5_1_1985",138,"DEN",5,1,202,10,28.2000007629395,17.3999996185303,NA,1985,63.2,42,NA,0,NA,NA,"5_1","5_1_202","5_1_202_1985",0,0
"150","5_1_1985",138,"DEN",5,1,204,10,26.6000003814697,1.60000002384186,NA,1985,60.2,41.5,NA,0,NA,NA,"5_1","5_1_204","5_1_204_1985",0,0
"151","5_1_1985",138,"DEN",5,1,215,10,26.3999996185303,35.0999984741211,NA,1985,46.8,37.7,NA,0,NA,NA,"5_1","5_1_215","5_1_215_1985",0,0
